"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 15:44:01 GMT 2024","Thu Feb 22 15:44:02 GMT 2024","157","Teamcity Suite","API Tests","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerUserCanCreateBuildConfiguration","agentManagerUserCanCreateBuildConfiguration",""
"passed","Thu Feb 22 15:43:58 GMT 2024","Thu Feb 22 15:43:58 GMT 2024","174","Teamcity Suite","API Tests","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationPropertyValueContainsAllAsciiSymbols","buildConfigurationPropertyValueContainsAllAsciiSymbols",""
"passed","Thu Feb 22 15:43:53 GMT 2024","Thu Feb 22 15:43:54 GMT 2024","422","Teamcity Suite","API Tests","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationIdCannotStartsWithDigits","buildConfigurationIdCannotStartsWithDigits",""
"passed","Thu Feb 22 15:43:12 GMT 2024","Thu Feb 22 15:43:20 GMT 2024","7349","Teamcity Suite","UI Tests","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","buildConfigCannotBeCreatedWithoutDefaultBranch","buildConfigCannotBeCreatedWithoutDefaultBranch",""
"passed","Thu Feb 22 15:44:00 GMT 2024","Thu Feb 22 15:44:01 GMT 2024","140","Teamcity Suite","API Tests","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectNameContainsAllAsciiSymbols","projectNameContainsAllAsciiSymbols",""
"failed","Thu Feb 22 15:43:58 GMT 2024","Thu Feb 22 15:43:58 GMT 2024","238","Teamcity Suite","API Tests","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationWithId255lengthCreated","buildConfigurationWithId255lengthCreated",""
"passed","Thu Feb 22 15:44:03 GMT 2024","Thu Feb 22 15:44:03 GMT 2024","166","Teamcity Suite","API Tests","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViwerUserCanRunBuild","projectViwerUserCanRunBuild",""
"passed","Thu Feb 22 15:43:59 GMT 2024","Thu Feb 22 15:44:00 GMT 2024","312","Teamcity Suite","API Tests","com.example.teamcity.api.BuildQueueTest","com.example.teamcity.api.BuildQueueTest","buildWithNullIdCannotBeCreated","buildWithNullIdCannotBeCreated",""
"passed","Thu Feb 22 15:44:00 GMT 2024","Thu Feb 22 15:44:00 GMT 2024","100","Teamcity Suite","API Tests","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIdCannotBeEmptyString","projectIdCannotBeEmptyString",""
"passed","Thu Feb 22 15:44:03 GMT 2024","Thu Feb 22 15:44:03 GMT 2024","137","Teamcity Suite","API Tests","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViwerUserCannotCreateBuildConfiguration","projectViwerUserCannotCreateBuildConfiguration",""
