"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 19:27:47 GMT 2024","Sun Feb 18 19:27:48 GMT 2024","166","API Suite","API Test","com.example.teamcity.api.BuildQueueTest","com.example.teamcity.api.BuildQueueTest","buildWithUnknownIdCannotBeAddedIntoQueue","buildWithUnknownIdCannotBeAddedIntoQueue",""
"passed","Sun Feb 18 19:27:49 GMT 2024","Sun Feb 18 19:27:49 GMT 2024","121","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerUserCanRunBuild","agentManagerUserCanRunBuild",""
"passed","Sun Feb 18 19:27:43 GMT 2024","Sun Feb 18 19:27:43 GMT 2024","145","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationIdCannotStartsWithUnderScore","buildConfigurationIdCannotStartsWithUnderScore",""
"passed","Sun Feb 18 19:27:46 GMT 2024","Sun Feb 18 19:27:46 GMT 2024","156","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationStepTypeContainsAllAsciiSymbols","buildConfigurationStepTypeContainsAllAsciiSymbols",""
"passed","Sun Feb 18 19:27:48 GMT 2024","Sun Feb 18 19:27:48 GMT 2024","92","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIdCannotStartsWithUnderscore","projectIdCannotStartsWithUnderscore",""
"passed","Sun Feb 18 19:27:49 GMT 2024","Sun Feb 18 19:27:49 GMT 2024","127","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerUserCanCreateBuildConfiguration","agentManagerUserCanCreateBuildConfiguration",""
"passed","Sun Feb 18 19:27:49 GMT 2024","Sun Feb 18 19:27:49 GMT 2024","128","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminCanRunBuild","projectAdminCanRunBuild",""
"passed","Sun Feb 18 19:27:47 GMT 2024","Sun Feb 18 19:27:47 GMT 2024","151","API Suite","API Test","com.example.teamcity.api.BuildQueueTest","com.example.teamcity.api.BuildQueueTest","buildWithNullIdCannotBeCreated","buildWithNullIdCannotBeCreated",""
"passed","Sun Feb 18 19:27:48 GMT 2024","Sun Feb 18 19:27:48 GMT 2024","61","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectWithIdMorethan255LenghtCannotCreated","projectWithIdMorethan255LenghtCannotCreated",""
"passed","Sun Feb 18 19:27:48 GMT 2024","Sun Feb 18 19:27:48 GMT 2024","48","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectWithNoNameCannotBeCreated","projectWithNoNameCannotBeCreated",""
"failed","Sun Feb 18 19:26:19 GMT 2024","Sun Feb 18 19:26:59 GMT 2024","39318","API Suite","API Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectAndBuildConfig","authorizedUserShouldBeAbleCreateNewProjectAndBuildConfig",""
"passed","Sun Feb 18 19:27:45 GMT 2024","Sun Feb 18 19:27:46 GMT 2024","168","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationPropertyNameContainsAllAscciiSymbols","buildConfigurationPropertyNameContainsAllAscciiSymbols",""
"passed","Sun Feb 18 19:27:45 GMT 2024","Sun Feb 18 19:27:45 GMT 2024","152","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationNameContainsAllAsciiCharacters","buildConfigurationNameContainsAllAsciiCharacters",""
"passed","Sun Feb 18 19:27:48 GMT 2024","Sun Feb 18 19:27:48 GMT 2024","101","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectWithSameIdCannotBeCreated","projectWithSameIdCannotBeCreated",""
"passed","Sun Feb 18 19:27:43 GMT 2024","Sun Feb 18 19:27:43 GMT 2024","230","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationIdCannotBeEmpty","buildConfigurationIdCannotBeEmpty",""
"passed","Sun Feb 18 19:27:48 GMT 2024","Sun Feb 18 19:27:48 GMT 2024","83","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIdCannotBeEmptyString","projectIdCannotBeEmptyString",""
"passed","Sun Feb 18 19:27:47 GMT 2024","Sun Feb 18 19:27:47 GMT 2024","158","API Suite","API Test","com.example.teamcity.api.BuildQueueTest","com.example.teamcity.api.BuildQueueTest","buildEmptyStringIdCannotBeCreated","buildEmptyStringIdCannotBeCreated",""
"passed","Sun Feb 18 19:26:04 GMT 2024","Sun Feb 18 19:26:08 GMT 2024","3418","Surefire suite","Surefire test","com.example.teamcity.api.AddAgentTest","com.example.teamcity.api.AddAgentTest","authorizeAgentTest","authorizeAgentTest",""
"passed","Sun Feb 18 19:27:49 GMT 2024","Sun Feb 18 19:27:49 GMT 2024","100","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminUserShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminUserShouldHaveRightsToCreateBuildConfigToHisProject",""
